Time,Name,Model,SN,Current,BIN
2020/12/29 16:30,AHB Cell Pack,AHB74490HPC,0B200530234,0.2647,C
2020/12/29 22:54,AHB Cell Pack,AHB74490HPC,96172211814,0.2904,C
2020/12/29 13:37,AHB Cell Pack,AHB74490HPC,96172220121,0.2913,C
2020/12/29 22:11,AHB Cell Pack,AHB74490HPC,96172211672,0.2914,C
2020/12/29 22:08,AHB Cell Pack,AHB74490HPC,96172220762,0.293,C
2020/12/29 18:02,AHB Cell Pack,AHB74490HPC,96172210369,0.2932,C
2020/12/29 18:42,AHB Cell Pack,AHB74490HPC,96172210816,0.2934,C
2020/12/29 18:33,AHB Cell Pack,AHB74490HPC,96172210079,0.2941,C
2020/12/29 22:44,AHB Cell Pack,AHB74490HPC,96172211840,0.2943,C
2020/12/29 21:59,AHB Cell Pack,AHB74490HPC,96172211345,0.2943,C
2020/12/29 21:44,AHB Cell Pack,AHB74490HPC,0B200530469,0.2943,C
2020/12/29 12:53,AHB Cell Pack,AHB74490HPC,96172210864,0.2948,C
2020/12/29 12:43,AHB Cell Pack,AHB74490HPC,96172210423,0.2948,C
2020/12/29 22:17,AHB Cell Pack,AHB74490HPC,0B200530122,0.295,C
2020/12/29 15:01,AHB Cell Pack,AHB74490HPC,96172211862,0.295,C
2020/12/29 22:01,AHB Cell Pack,AHB74490HPC,96172211803,0.2951,C
2020/12/29 13:07,AHB Cell Pack,AHB74490HPC,0B200530095,0.3148,C
2020/12/29 20:18,AHB Cell Pack,AHB74490HPC,96172210666,0.3213,C
2020/12/29 22:34,AHB Cell Pack,AHB74490HPC,96172211040,0.3215,C
2020/12/29 22:52,AHB Cell Pack,AHB74490HPC,96172210334,0.3217,C
2020/12/29 13:46,AHB Cell Pack,AHB74490HPC,96172211960,0.3222,C
2020/12/29 14:06,AHB Cell Pack,AHB74490HPC,96172220924,0.3224,C
2020/12/29 16:09,AHB Cell Pack,AHB74490HPC,96172210365,0.3226,C
2020/12/29 14:29,AHB Cell Pack,AHB74490HPC,96172211175,0.3226,C
2020/12/29 13:27,AHB Cell Pack,AHB74490HPC,96172211701,0.3226,C
2020/12/29 20:42,AHB Cell Pack,AHB74490HPC,96172211617,0.3227,C
2020/12/30 08:31,AHB Cell Pack,AHB74490HPC,96172220937,0.3229,C
2020/12/29 22:12,AHB Cell Pack,AHB74490HPC,96172211227,0.3229,C
2020/12/29 21:48,AHB Cell Pack,AHB74490HPC,96172220543,0.3229,C
2020/12/29 15:10,AHB Cell Pack,AHB74490HPC,96172220074,0.3229,C
2020/12/29 13:18,AHB Cell Pack,AHB74490HPC,96172220645,0.3229,C
2020/12/29 12:49,AHB Cell Pack,AHB74490HPC,96172211706,0.3229,C
2020/12/29 17:51,AHB Cell Pack,AHB74490HPC,96172211648,0.3231,C
2020/12/29 16:49,AHB Cell Pack,AHB74490HPC,96172211280,0.3231,C
2020/12/29 13:37,AHB Cell Pack,AHB74490HPC,96172220081,0.3233,C
2020/12/29 22:50,AHB Cell Pack,AHB74490HPC,96172210405,0.3234,C
2020/12/29 22:32,AHB Cell Pack,AHB74490HPC,96172211765,0.3234,C
2020/12/29 16:53,AHB Cell Pack,AHB74490HPC,96172211687,0.3234,C
2020/12/29 16:31,AHB Cell Pack,AHB74490HPC,0B200530443,0.3234,C
2020/12/29 15:31,AHB Cell Pack,AHB74490HPC,96172220221,0.3234,C
2020/12/29 15:08,AHB Cell Pack,AHB74490HPC,96172220124,0.3234,C
2020/12/29 14:38,AHB Cell Pack,AHB74490HPC,96172211619,0.3234,C
2020/12/29 13:52,AHB Cell Pack,AHB74490HPC,96172210178,0.3234,C
2020/12/29 13:12,AHB Cell Pack,AHB74490HPC,96172220391,0.3234,C
2020/12/30 08:24,AHB Cell Pack,AHB74490HPC,96172210398,0.3236,C
2020/12/29 15:48,AHB Cell Pack,AHB74490HPC,96172220050,0.3236,C
2020/12/29 15:15,AHB Cell Pack,AHB74490HPC,96172220468,0.3236,C
2020/12/29 15:11,AHB Cell Pack,AHB74490HPC,96172220259,0.3236,C
2020/12/29 13:55,AHB Cell Pack,AHB74490HPC,96172211866,0.3236,C
2020/12/29 13:23,AHB Cell Pack,AHB74490HPC,96172220355,0.3236,C
2020/12/29 13:13,AHB Cell Pack,AHB74490HPC,96172211733,0.3236,C
2020/12/29 12:59,AHB Cell Pack,AHB74490HPC,96172210346,0.3236,C
2020/12/29 12:33,AHB Cell Pack,AHB74490HPC,96172210147,0.3236,C
2020/12/29 22:51,AHB Cell Pack,AHB74490HPC,96172210519,0.3238,C
2020/12/29 15:37,AHB Cell Pack,AHB74490HPC,96172211783,0.3238,C
2020/12/29 15:26,AHB Cell Pack,AHB74490HPC,96172220215,0.3238,C
2020/12/29 14:11,AHB Cell Pack,AHB74490HPC,96172220773,0.3238,C
2020/12/29 13:09,AHB Cell Pack,AHB74490HPC,96172211759,0.3238,C
2020/12/29 13:08,AHB Cell Pack,AHB74490HPC,96172211528,0.3238,C
2020/12/29 12:43,AHB Cell Pack,AHB74490HPC,0B200530389,0.3238,C
2020/12/29 22:49,AHB Cell Pack,AHB74490HPC,96172211172,0.324,C
2020/12/29 22:43,AHB Cell Pack,AHB74490HPC,96172211826,0.324,C
2020/12/29 22:01,AHB Cell Pack,AHB74490HPC,96172211418,0.324,C
2020/12/29 22:00,AHB Cell Pack,AHB74490HPC,96172211263,0.324,C
2020/12/29 21:19,AHB Cell Pack,AHB74490HPC,96172220809,0.324,C
2020/12/29 20:06,AHB Cell Pack,AHB74490HPC,96172211633,0.324,C
2020/12/29 18:33,AHB Cell Pack,AHB74490HPC,96172210065,0.324,C
2020/12/29 16:54,AHB Cell Pack,AHB74490HPC,96172210305,0.324,C
2020/12/29 16:42,AHB Cell Pack,AHB74490HPC,96172211772,0.324,C
2020/12/29 16:29,AHB Cell Pack,AHB74490HPC,0B200530256,0.324,C
2020/12/29 16:14,AHB Cell Pack,AHB74490HPC,96172220230,0.324,C
2020/12/29 15:31,AHB Cell Pack,AHB74490HPC,96172220015,0.324,C
2020/12/29 15:30,AHB Cell Pack,AHB74490HPC,96172220019,0.324,C
2020/12/29 15:11,AHB Cell Pack,AHB74490HPC,96172220141,0.324,C
2020/12/29 14:26,AHB Cell Pack,AHB74490HPC,96172220781,0.324,C
2020/12/29 14:09,AHB Cell Pack,AHB74490HPC,96172220785,0.324,C
2020/12/29 13:59,AHB Cell Pack,AHB74490HPC,96172211877,0.324,C
2020/12/29 13:53,AHB Cell Pack,AHB74490HPC,96172211959,0.324,C
2020/12/29 13:52,AHB Cell Pack,AHB74490HPC,96172211270,0.324,C
2020/12/29 22:49,AHB Cell Pack,AHB74490HPC,96172210058,0.3241,C
2020/12/29 21:19,AHB Cell Pack,AHB74490HPC,96172211445,0.3241,C
2020/12/29 18:02,AHB Cell Pack,AHB74490HPC,96172220052,0.3241,C
2020/12/29 15:36,AHB Cell Pack,AHB74490HPC,96172220284,0.3241,C
2020/12/29 15:26,AHB Cell Pack,AHB74490HPC,96172220182,0.3241,C
2020/12/29 13:56,AHB Cell Pack,AHB74490HPC,96172211865,0.3241,C
2020/12/29 13:44,AHB Cell Pack,AHB74490HPC,96172211343,0.3241,C
2020/12/29 13:29,AHB Cell Pack,AHB74490HPC,96172211494,0.3241,C
2020/12/29 12:57,AHB Cell Pack,AHB74490HPC,0B200530492,0.3241,C
2020/12/29 22:09,AHB Cell Pack,AHB74490HPC,96172220731,0.3243,C
2020/12/29 21:45,AHB Cell Pack,AHB74490HPC,96172211678,0.3243,C
2020/12/29 21:27,AHB Cell Pack,AHB74490HPC,96172220584,0.3243,C
2020/12/29 17:56,AHB Cell Pack,AHB74490HPC,96172211100,0.3243,C
2020/12/29 16:34,AHB Cell Pack,AHB74490HPC,0B200530705,0.3243,C
2020/12/29 16:29,AHB Cell Pack,AHB74490HPC,96172220307,0.3243,C
2020/12/29 16:26,AHB Cell Pack,AHB74490HPC,96172220305,0.3243,C
2020/12/29 16:18,AHB Cell Pack,AHB74490HPC,0B200530714,0.3243,C
2020/12/29 15:53,AHB Cell Pack,AHB74490HPC,96172220251,0.3243,C
2020/12/29 15:41,AHB Cell Pack,AHB74490HPC,96172220485,0.3243,C
2020/12/29 15:34,AHB Cell Pack,AHB74490HPC,96172220506,0.3243,C
2020/12/29 15:19,AHB Cell Pack,AHB74490HPC,96172220508,0.3243,C
2020/12/29 15:03,AHB Cell Pack,AHB74490HPC,96172220290,0.3243,C
2020/12/29 15:02,AHB Cell Pack,AHB74490HPC,96172220249,0.3243,C
2020/12/29 14:40,AHB Cell Pack,AHB74490HPC,96172212002,0.3243,C
2020/12/29 14:29,AHB Cell Pack,AHB74490HPC,96172211953,0.3243,C
2020/12/29 14:10,AHB Cell Pack,AHB74490HPC,96172220771,0.3243,C
2020/12/29 14:07,AHB Cell Pack,AHB74490HPC,96172211761,0.3243,C
2020/12/29 13:53,AHB Cell Pack,AHB74490HPC,96172211576,0.3243,C
2020/12/29 13:31,AHB Cell Pack,AHB74490HPC,96172211504,0.3243,C
2020/12/29 13:15,AHB Cell Pack,AHB74490HPC,96172220386,0.3243,C
2020/12/29 13:11,AHB Cell Pack,AHB74490HPC,96172211530,0.3243,C
2020/12/30 08:26,AHB Cell Pack,AHB74490HPC,96172220181,0.3245,C
2020/12/30 08:17,AHB Cell Pack,AHB74490HPC,96172211922,0.3245,C
2020/12/30 07:47,AHB Cell Pack,AHB74490HPC,96172211201,0.3245,C
2020/12/29 22:41,AHB Cell Pack,AHB74490HPC,0B200530264,0.3245,C
2020/12/29 22:36,AHB Cell Pack,AHB74490HPC,96172210333,0.3245,C
2020/12/29 22:35,AHB Cell Pack,AHB74490HPC,96172211397,0.3245,C
2020/12/29 22:32,AHB Cell Pack,AHB74490HPC,0B200530325,0.3245,C
2020/12/29 22:26,AHB Cell Pack,AHB74490HPC,96172211537,0.3245,C
